gene_id,m-SES-leaf-roll-2,m-SES-mature-leaf-3,m-SES-stem3-2,m-SES-stem6-1,m-SES-stem9-1,pre-m-SES-leaf-roll,pre-m-SES-m-leaf,pre-m-SES-stem-3,pre-m-SES-stem-6,pre-m-SES-stem-9,seedling-Sleaf1,seedling-Sleaf2,seedling-Sleaf3,seedling-Sstem1,seedling-Sstem2,seedling-Sstem3,SES1-1,SES1-2,SES1-3,SES2-1,SES2-2,SES2-3,SES3-1,SES3-2,SES3-3,SES4-1,SES4-2,SES4-3,SES5-1,SES5-2,SES5-3,SES6-1,SES6-2,SES6-3,SES7-1,SES7-2,SES7-3,SES8-1,SES8-2,SES8-3,SES9-1,SES9-2,SES9-3,SES10-1,SES10-2,SES10-3,SES11-1,SES11-2,SES11-3,SES12-1,SES12-2,SES12-3,Ss1-1.RSEM,Ss1-2.RSEM,Ss1-3.RSEM,Ss10-1.RSEM,Ss10-2.RSEM,Ss10-3.RSEM,Ss11-1.RSEM,Ss11-2.RSEM,Ss11-3.RSEM,Ss12-1.RSEM,Ss12-2.RSEM,Ss12-3.RSEM,Ss13-1.RSEM,Ss13-2.RSEM,Ss13-3.RSEM,Ss14-1.RSEM,Ss14-2.RSEM,Ss14-3.RSEM,Ss15-1.RSEM,Ss15-2.RSEM,Ss2-1.RSEM,Ss2-2.RSEM,Ss2-3.RSEM,Ss3-1.RSEM,Ss3-2.RSEM,Ss3-3.RSEM,Ss4-1.RSEM,Ss4-2.RSEM,Ss4-3.RSEM,Ss5-1.RSEM,Ss5-2.RSEM,Ss5-3.RSEM,Ss6-1.RSEM,Ss6-2.RSEM,Ss6-3.RSEM,Ss7-1.RSEM,Ss7-2.RSEM,Ss7-3.RSEM,Ss8-1.RSEM,Ss8-2.RSEM,Ss8-3.RSEM,Ss9-1.RSEM,Ss9-2.RSEM,Ss9-3.RSEM
Sspon.008A0000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533994,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.03,0.53,0.0,0.0,0.32,0.0,0.0,0.29,0.16,0.0,0.24,0.08,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
Sspon.008A0000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.0,0.07,0.0,0.2
Sspon.008A0000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.16,0.0,0.1,0.06,0.0,0.04,0.07,0.0,0.0,0.0,0.0,0.0
Sspon.008A0000030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sspon.008A0000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0
Sspon.008A0000050,0.0,0.033426,0.121972,0.103849,0.24465,0.0,0.0,0.0538236,0.0,0.0,0.0247762,0.0,0.0,0.0491041,0.0479593,0.0,0.0,0.014193,0.0,0.0104446,0.0172972,0.0,0.0114664,0.0100866,0.0272976,0.0,0.00983582,0.0,0.00986575,0.0144271,0.0,0.0427029,0.0,0.0,0.0,0.0,0.0,0.0119653,0.0,0.0110253,0.0203747,0.0,0.021804,0.0518972,0.0,0.0540153,0.0,0.0113066,0.0,0.0,0.0147156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.07,0.09,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
Sspon.008A0000051,0.0,0.0,0.0,0.0,0.460592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.407854,0.0,0.339458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.58,0.21,0.0,0.0,0.0,0.31,0.74,0.0,0.56,0.0,0.06,0.74,0.0,0.0,0.0,0.0,0.0,0.08,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.36,0.0,0.27,0.0,0.0,0.41,0.0,0.0,0.0,0.0
Sspon.008A0000070,0.238305,0.0664644,0.291972,2.30785,1.25478,0.508533,0.555362,0.547961,4.33716,6.42379,0.561078,0.410239,0.736805,1.05936,0.615607,0.795928,0.0972183,0.348191,0.183387,0.0973415,0.52487,0.21936,1.128,1.26859,1.11272,0.423799,0.238894,1.07069,0.426215,0.886502,1.56189,0.391179,0.0,0.70068,2.02981,0.625106,0.282214,0.284709,1.33434,1.08143,0.305229,0.539901,0.63609,0.950251,1.04814,0.560467,0.268534,0.310092,0.882051,0.271542,0.265025,0.0839121,1.94,0.94,0.93,0.31,0.69,0.27,0.0,0.0,0.09,1.24,0.79,0.6,1.19,1.35,0.38,0.57,1.54,0.45,2.29,1.68,0.59,0.59,0.34,0.03,1.91,0.17,0.67,2.34,0.51,1.42,0.98,0.0,0.5,0.0,0.41,0.24,0.01,0.53,1.71,0.48,0.84,0.42,0.59,0.46
Sspon.008A0000071,0.573433,1.26848,1.42897,1.41601,2.30906,3.47348,1.26974,0.0,0.408477,1.94973,2.3274,0.430332,0.599032,0.721148,1.44033,0.748172,0.0953893,0.0,0.537769,0.0,0.102546,0.852731,0.14045,0.0,0.101245,0.0,0.467421,0.510468,0.243945,0.176464,0.594132,0.771614,1.05675,0.0,0.500182,1.08658,0.421199,0.135335,0.764387,0.536243,0.64482,0.794891,0.0,0.535154,0.518333,0.409326,0.391535,0.304981,0.430663,0.132862,0.25516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sspon.008A0000080,216.027,254.281,10.7461,17.8065,17.1839,82.1805,141.31,6.40362,15.8093,18.9436,87.1092,94.4701,108.719,31.3417,34.6175,35.2943,104.811,91.1635,91.6113,91.4327,92.0221,91.147,98.9087,87.6404,72.2737,160.616,98.437,109.788,215.732,130.101,153.477,189.307,228.01,243.83,246.636,187.502,218.47,132.845,123.197,170.021,173.64,148.018,120.592,142.983,116.602,123.657,153.39,117.368,104.637,94.5426,118.27,86.3123,55.41,32.15,47.88,365.1,284.89,409.96,247.97,276.05,372.1,256.92,245.18,332.58,274.76,251.03,305.64,288.75,286.63,317.42,327.47,332.12,122.4,53.27,75.15,197.8,114.45,140.44,316.29,168.04,214.1,358.98,222.36,266.84,381.88,309.86,317.44,410.83,329.07,386.99,422.69,321.82,442.92,321.41,312.65,458.93
Sspon.008A0000081,0.642975,0.366857,3.11939,1.76681,2.58661,0.346634,0.269938,4.84486,0.282242,1.25045,0.563369,0.575725,0.238288,1.4575,1.19695,1.35228,0.200181,1.05219,0.285477,0.104004,0.42114,0.381937,0.158775,0.32013,0.201409,0.210706,0.277091,0.230059,0.404275,0.0,0.0894353,0.649893,0.736662,0.349552,0.267321,0.498849,0.0433514,0.173729,0.1717,0.651483,0.259992,0.326598,0.0,0.334921,0.71521,0.0868347,0.249813,0.836935,0.550596,0.510887,0.34377,0.248103,0.49,0.3,0.18,0.01,0.0,0.24,0.0,0.0,0.13,0.0,0.0,0.24,0.0,0.13,0.35,0.0,0.0,0.0,0.19,0.0,0.41,1.01,0.68,0.0,0.31,0.13,0.15,0.0,0.11,0.37,0.0,0.0,0.16,0.28,0.0,0.0,0.15,0.23,0.0,0.0,0.0,0.3,0.0,0.1
